cue_id,type,prompt_or_line,duration_seconds,variants,loop,voice_style,emotion
UI_CONFIRM,sfx,Clean soft futuristic digital confirmation click with a short cyan shimmer,0.4,3,no,,
UI_REJECT,sfx,Short low electronic rejection buzz with two descending tones,0.45,3,no,,
UI_CARD_PICKUP,sfx,Crisp holographic card pickup with a light magnetic snap,0.35,3,no,,
UI_CARD_DROP_VALID,sfx,Positive sci-fi card deployment lock with a compact energy seal,0.55,3,no,,
UI_CARD_DROP_INVALID,sfx,Dry digital card placement failure with a brief warning chirp,0.45,3,no,,
UI_CARD_ADD,sfx,Command card added to a digital loadout with a clean data insertion sound,0.45,3,no,,
UI_CARD_REMOVE,sfx,Command card removed from a digital loadout with a reversed data pull,0.45,3,no,,
UI_PANEL_OPEN,sfx,Compact futuristic interface panel unfolding,0.35,3,no,,
UI_PANEL_CLOSE,sfx,Compact futuristic interface panel retracting,0.3,3,no,,
UI_MODE_SELECT,sfx,Tactical game protocol selected with a confident digital lock,0.55,3,no,,
UI_PILOT_SELECT,sfx,Pilot identity accepted by a military sci-fi command console,0.6,3,no,,
UI_TOWER_WEAPON_SELECT,sfx,Mechanical weapon module selected and electronically armed,0.65,3,no,,
UI_LOADOUT_PRESET,sfx,Eight-card command loadout rapidly assembling and locking,0.8,3,no,,
UI_UPGRADE_TIER_1,sfx,Robot firmware upgrade ascending one tier with a clean power-up chime,0.8,3,no,,
UI_UPGRADE_TIER_2,sfx,Advanced robot firmware upgrade with a brighter two-stage power-up chime,1,3,no,,
UI_UPGRADE_REMOVE,sfx,Firmware allocation removed with a subtle descending digital tone,0.5,3,no,,
UI_PAUSE,sfx,Game systems suspending with a short digital power-down lock,0.6,2,no,,
UI_RESUME,sfx,Game systems resuming with a short digital power-up lock,0.6,2,no,,
UI_MUTE,sfx,All audio channels muting with a compact filtered shutdown click,0.4,2,no,,
UI_UNMUTE,sfx,All audio channels restoring with a compact bright activation click,0.4,2,no,,
MATCH_LAUNCH,sfx,Sci-fi command deck deployment accepted followed by arena systems ignition,1.8,3,no,,
MATCH_START_CORE_SIEGE,sfx,Heavy tactical match-start stinger for a balanced core siege battle,2.2,3,no,,
MATCH_START_TURBO_GRID,sfx,Fast aggressive match-start stinger with accelerated electronic pulses,2,3,no,,
MATCH_START_RELAY_RUSH,sfx,Urgent race-style match-start stinger focused on breaching two relays,2,3,no,,
MATCH_START_BEST_OF_THREE,sfx,Competitive series match-start stinger with three measured impacts,2.4,3,no,,
ROUND_START,sfx,Short decisive new-round combat stinger for a sci-fi strategy game,1.5,3,no,,
STAGE_RELAY_WAR,sfx,Opening bonus ends and full relay war begins with a tactical electronic transition,1.4,3,no,,
STAGE_CORE_SURGE,sfx,High-energy core surge activation with rapidly rising power and double-charge emphasis,1.8,3,no,,
POWER_DRAIN_WARNING,sfx,Critical arena power drain warning siren with unstable electrical undertone,3,3,no,,
POWER_DRAIN_PULSE,sfx,Heavy repeating tower power drain pulse with low electrical impact,0.7,4,no,,
ROUND_VICTORY,sfx,Short positive round victory stinger with an upward digital cadence,2.5,3,no,,
ROUND_DEFEAT,sfx,Short ominous round defeat stinger with a downward digital cadence,2.5,3,no,,
MATCH_VICTORY,sfx,Triumphant futuristic battle victory stinger with powerful robotic confidence,5,3,no,,
MATCH_DEFEAT,sfx,Dark futuristic battle defeat stinger with failing machinery and descending tones,5,3,no,,
MATCH_DRAW,sfx,Unresolved neutral sci-fi match result sting ending on a suspended cadence,4,3,no,,
WEAPON_BULLET_LIGHT_FIRE,sfx,Compact futuristic light robot gunshot with a sharp mechanical energy snap,0.18,4,no,,
WEAPON_BULLET_HEAVY_FIRE,sfx,Heavy futuristic robot cannon shot with metal recoil and energy crack,0.3,4,no,,
WEAPON_SENTRY_BURST,sfx,Automated arc sentry firing a precise short ballistic energy burst,0.28,4,no,,
WEAPON_PULSE_FIRE,sfx,Clean focused cyan pulse rifle shot with a fast electronic tail,0.3,4,no,,
IMPACT_BULLET_ARMOR,sfx,Futuristic projectile striking thick robot armor with sparks and metal debris,0.35,4,no,,
